product_id,title,collection,garment,colors,front_w_cm,front_h_cm,back_w_cm,back_h_cm,scale_assessment,identity_assessment,color_consistency,confidence,verdict,recommendation
352722510,"São Miguel Celeste | Blusão Moletom",NUVEM,"Blusão Moletom",Branca,10.3,9.4,35.0,39.7,"Coerente; desvio visual estimado dentro de ±8%","Macroarte, cores e composição coerentes com o mockup","Uma cor",Média,APROVAR,"Manter a capa; conferir apenas microdetalhes em amostra física"
352723243,"São Miguel Celeste | Camiseta Premium",NUVEM,"Camiseta Premium",Branca,9.5,8.6,35.2,39.7,"Coerente; desvio visual estimado dentro de ±8%","Arte e posição coerentes","Uma cor",Média,APROVAR,"Manter"
352722685,"São Miguel Celeste | Moletom Canguru",NUVEM,"Moletom Canguru",Branca,9.6,8.7,35.2,39.7,"A estampa das costas parece cerca de 15–20% menor que a referência","Arte correta, mas escala destoante das outras duas peças da família","Uma cor",Alta,REFAZER,"Aumentar a estampa mantendo exatamente a arte e a posição do mockup YouDraw"
352720257,"Acima de Tudo Gótico | Camiseta Oversized Premium",RELIQUIA,"Camiseta Oversized Premium","Preta | Off-White",35.0,33.8,,,"Coerente; desvio visual estimado dentro de ±8%","Tipografia e cruz coerentes","As duas cores aparentam a mesma escala",Média,APROVAR,"Manter"
352719728,"Aparecida Barroca | Blusão Moletom",RELIQUIA,"Blusão Moletom",Branca,9.0,9.3,27.8,40.0,"Coerente após a correção; dentro de ±8%","Composição e moldura coerentes","Uma cor",Média,APROVAR,"Manter; validar microtexto em amostra física"
352890896,"Aparecida Barroca | Camiseta Oversized Premium",RELIQUIA,"Camiseta Oversized Premium","Preta | Off-White",9.2,9.4,27.9,40.0,"Coerente em escala geral","Macroarte correta; a legenda minúscula tem leve deformação","As duas cores aparentam escala equivalente",Média,REVISAR,"Recriar apenas se for possível preservar o microtexto com mais fidelidade"
352720127,"Aparecida Barroca | Camiseta Premium",RELIQUIA,"Camiseta Premium",Branca,8.7,9.0,27.7,40.0,"Coerente; dentro de ±8%","Arte, moldura e posição coerentes","Uma cor",Média,APROVAR,"Manter"
352719816,"Aparecida Barroca | Moletom Canguru",RELIQUIA,"Moletom Canguru",Branca,8.7,9.0,27.7,40.0,"A estampa parece cerca de 10–15% menor que o mockup","Arte correta, mas menor que as demais aplicações da mesma família","Uma cor",Alta,REFAZER,"Aumentar a estampa sem alterar proporção nem microtexto"
352717960,"Azulejo Sagrado | Blusão Moletom",RELIQUIA,"Blusão Moletom",Branca,9.1,9.4,35.0,35.0,"Coerente; dentro de ±8%","Mosaico, cruz e moldura coerentes","Uma cor",Média,APROVAR,"Manter"
352718275,"Azulejo Sagrado | Camiseta Premium",RELIQUIA,"Camiseta Premium",Branca,8.5,8.8,35.2,35.0,"Coerente; dentro de ±8%","Arte e proporção quadrada coerentes","Uma cor",Média,APROVAR,"Manter"
352718083,"Azulejo Sagrado | Moletom Canguru",RELIQUIA,"Moletom Canguru",Branca,8.8,9.1,35.2,35.0,"Coerente; possível variação de até 8% pela perspectiva","Arte e posição coerentes","Uma cor",Média,APROVAR,"Manter"
352717723,"Brasão NIMBUS | Camiseta Oversized Premium",RELIQUIA,"Camiseta Oversized Premium","Preta | Off-White",9.1,9.4,29.6,40.0,"Coerente; dentro de ±8%","Brasão, cruz e lettering coerentes","As duas cores aparentam a mesma escala",Média,APROVAR,"Manter"
352717837,"Brasão NIMBUS | Camiseta Premium",RELIQUIA,"Camiseta Premium","Preta | Branca",8.8,9.1,29.6,40.0,"Coerente; dentro de ±8%","Arte e posição coerentes","As duas cores aparentam a mesma escala",Média,APROVAR,"Manter"
352703276,"Deus é Fiel | Camiseta Oversized Premium",RELIQUIA,"Camiseta Oversized Premium",Preta,9.1,9.4,35.1,33.0,"Coerente; dentro de ±8%","Lettering e composição coerentes","Uma cor",Média,APROVAR,"Manter"
352703343,"Deus é Fiel | Camiseta Premium",RELIQUIA,"Camiseta Premium",Preta,8.7,9.0,35.2,32.9,"Coerente; dentro de ±8%","Lettering e composição coerentes","Uma cor",Média,APROVAR,"Manter"
352702858,"Fé Acima de Tudo | Camiseta Oversized Premium",RELIQUIA,"Camiseta Oversized Premium","Preta | Off-White",8.9,9.1,35.1,24.6,"Coerente após correção; dentro de ±8%","Lettering e cruz coerentes","As duas cores aparentam a mesma escala",Média,APROVAR,"Manter"
352703153,"Fé Acima de Tudo | Camiseta Premium",RELIQUIA,"Camiseta Premium","Preta | Branca",8.5,8.8,35.2,24.6,"Coerente; dentro de ±8%","Arte e posição coerentes","As duas cores aparentam a mesma escala",Média,APROVAR,"Manter"
352702753,"Monograma NIMBUS | Camiseta Oversized Premium",RELIQUIA,"Camiseta Oversized Premium","Preta | Off-White",29.3,30.1,,,"Coerente; dentro de ±8%","Monograma, auréola e cruz coerentes","As duas cores aparentam a mesma escala",Média,APROVAR,"Manter"
352702796,"Monograma NIMBUS | Camiseta Premium",RELIQUIA,"Camiseta Premium","Preta | Branca",28.5,29.4,,,"A escala da arte é coerente","A peça da foto parece mais larga que uma Premium regular","As duas cores aparentam a mesma escala",Média,REVISAR,"Refazer somente o caimento da camiseta, preservando a arte e o tamanho"
352702020,"Salmo 19 | Camiseta Premium",RELIQUIA,"Camiseta Premium","Preta | Branca",8.9,9.2,35.2,28.8,"Coerente; dentro de ±8%","Texto principal correto; microtipografia não é verificável com certeza em thumbnail","As duas cores aparentam escala semelhante",Média,REVISAR,"Usar a arte original como camada rígida numa futura recriação"
352619175,"Salmo 19 | Moletom Canguru",RELIQUIA,"Moletom Canguru","Preta | Branca",8.7,9.0,35.2,28.8,"Coerente; dentro de ±8%","Texto principal correto; microtipografia requer conferência","As duas cores aparentam escala semelhante",Média,REVISAR,"Manter por ora; validar texto a 100% antes de nova geração"
352718943,"São Jorge Neobarroco | Camiseta Oversized Premium",RELIQUIA,"Camiseta Oversized Premium","Preta | Off-White",9.1,9.3,30.8,40.0,"A estampa parece cerca de 20–25% maior que o mockup","Composição principal semelhante, mas moldura e pequenos elementos têm baixa confiança","As duas cores estão próximas entre si",Alta,REFAZER,"Reduzir e usar a arte original sem regenerar detalhes"
352718999,"São Jorge Neobarroco | Camiseta Premium",RELIQUIA,"Camiseta Premium","Preta | Branca",9.0,9.3,31.0,40.0,"A estampa parece cerca de 15–25% maior que o mockup","Macroarte semelhante; microdetalhes e texto precisam ser preservados da fonte","As duas cores estão próximas entre si",Alta,REFAZER,"Reduzir e aplicar a arte original como camada rígida"
352718787,"São Jorge Neobarroco | Moletom Canguru",RELIQUIA,"Moletom Canguru","Preta | Branca",8.6,8.9,31.0,40.0,"A estampa parece cerca de 20–30% maior que o mockup","Macroarte semelhante; risco de alteração na moldura e nos detalhes","As duas cores estão próximas entre si",Alta,REFAZER,"Reduzir e preservar a arte original; não redesenhar"
352618837,"São Jorge Vintage | Blusão Moletom",RELIQUIA,"Blusão Moletom","Preta | Branca",9.0,9.3,30.6,40.0,"A versão preta está aproximadamente 15–20% maior que a branca","Arte principal coerente nas duas versões","Inconsistência perceptível entre as cores",Alta,REFAZER,"Padronizar as duas cores pelo tamanho do mockup YouDraw"
352618903,"São Jorge Vintage | Camiseta Oversized Premium",RELIQUIA,"Camiseta Oversized Premium","Preta | Off-White",9.1,9.3,30.6,40.0,"A versão preta parece cerca de 10–15% maior que a clara","Arte principal coerente","Inconsistência perceptível entre as cores",Alta,REFAZER,"Padronizar preto e off-white com a mesma escala relativa"
352618935,"São Jorge Vintage | Camiseta Premium",RELIQUIA,"Camiseta Premium","Branca | Preta",8.6,8.9,30.6,40.0,"Levemente maior que o mockup; estimativa de 8–15%","Arte principal coerente","As duas cores estão próximas entre si",Média,REVISAR,"Reduzir discretamente ou validar com prova antes de manter"
352618878,"São Jorge Vintage | Moletom Canguru",RELIQUIA,"Moletom Canguru","Preta | Branca",8.7,9.0,30.6,40.0,"Coerente; dentro de aproximadamente ±10%","Arte principal coerente","As duas cores estão próximas entre si",Média,APROVAR,"Manter"
352407182,"São Miguel Vintage | Camiseta Oversized Premium",RELIQUIA,"Camiseta Oversized Premium","Preta | Off-White",9.2,9.5,31.6,40.0,"A estampa parece cerca de 10–15% maior que o mockup","Arte principal coerente","As duas cores estão próximas entre si",Média,REVISAR,"Reduzir discretamente e usar a arte original sem regenerar"
352407196,"São Miguel Vintage | Camiseta Premium",RELIQUIA,"Camiseta Premium","Preta | Branca",8.8,9.1,31.5,40.0,"Coerente; possível desvio de até 10%","Arte e lettering coerentes","As duas cores estão próximas entre si",Média,APROVAR,"Manter"
352407156,"São Miguel Vintage | Moletom Canguru",RELIQUIA,"Moletom Canguru","Preta | Branca",8.9,9.2,31.5,40.0,"Coerente; possível desvio de até 10%","Arte e lettering coerentes","As duas cores estão próximas entre si",Média,APROVAR,"Manter"
352728451,"Acima de Tudo Grafite | Camiseta Oversized Premium",STREET,"Camiseta Oversized Premium",Off-White,8.8,14.1,35.1,27.2,"Coerente; dentro de ±8%","Lettering, cores e posição coerentes","Uma cor",Média,APROVAR,"Manter"
352728524,"Acima de Tudo Grafite | Camiseta Premium",STREET,"Camiseta Premium",Branca,8.6,12.3,35.2,27.2,"Escala parece coerente, mas a perspectiva é distante","Macroarte correta; microtexto não é legível na capa","Uma cor",Baixa,REVISAR,"Criar uma verificação em enquadramento mais próximo antes de aprovar definitivamente"
352728277,"Anjo da Guarda Stencil | Camiseta Oversized Premium",STREET,"Camiseta Oversized Premium",Preta,9.2,14.7,25.5,40.0,"A estampa parece cerca de 20–25% maior que o mockup","Arte principal coerente; escala domina excessivamente as costas","Uma cor",Alta,REFAZER,"Reduzir preservando exatamente o anjo, a auréola e a posição"
352728357,"Anjo da Guarda Stencil | Camiseta Premium",STREET,"Camiseta Premium",Preta,8.4,13.6,25.5,40.0,"Ainda parece cerca de 8–15% maior que o mockup","Arte principal coerente após a correção","Uma cor",Média,REVISAR,"Fazer uma redução leve ou validar com prova física"
352727892,"Aparecida Spray | Blusão Moletom",STREET,"Blusão Moletom",Preta,9.4,13.4,23.8,40.0,"Coerente após a troca para blusão sem capuz","Arte e tipo da peça agora coerentes","Uma cor",Média,APROVAR,"Manter"
352728019,"Aparecida Spray | Camiseta Oversized Premium",STREET,"Camiseta Oversized Premium",Preta,9.0,14.4,23.8,40.0,"Coerente após correção; dentro de ±8%","Arte, halo e posição coerentes","Uma cor",Média,APROVAR,"Manter"
352889132,"Aparecida Spray | Camiseta Premium",STREET,"Camiseta Premium",Preta,8.7,14.1,23.8,40.0,"Coerente; dentro de aproximadamente ±10%","Macroarte correta; microdetalhes têm confiança média","Uma cor",Média,REVISAR,"Manter por ora; usar a arte original em qualquer recriação"
352721477,"Espírito Santo Spray | Camiseta Premium",STREET,"Camiseta Premium","Preta | Branca",8.4,12.1,35.2,35.1,"Coerente; possível desvio de até 10%","Macroarte correta; lettering pequeno requer conferência","As duas cores aparentam escala semelhante",Média,REVISAR,"Validar microtexto a 100%; não regenerar a arte"
352721118,"Fé Wildstyle | Camiseta Oversized Premium",STREET,"Camiseta Oversized Premium","Preta | Off-White",9.0,14.5,33.7,40.0,"Coerente; dentro de ±8%","Cores, halo e lettering coerentes","As duas cores aparentam a mesma escala",Média,APROVAR,"Manter"
352721197,"Fé Wildstyle | Camiseta Premium",STREET,"Camiseta Premium","Preta | Branca",8.5,13.7,33.8,40.0,"Coerente; dentro de ±8%","Cores, halo e lettering coerentes","As duas cores aparentam a mesma escala",Média,APROVAR,"Manter"
352721633,"NIMBUS Wildstyle | Camiseta Oversized Premium",STREET,"Camiseta Oversized Premium","Preta | Off-White",9.1,14.6,35.1,37.5,"Coerente; dentro de ±8%","Lettering, cores e halo coerentes","As duas cores aparentam a mesma escala",Média,APROVAR,"Manter; remover apenas eventual marca visual de arquivo secundário se reaparecer"
355581274,"NIMBUS Wildstyle | Ecobag",STREET,Ecobag,Natural,24.0,25.7,,,"Coerente; proporção semelhante ao mockup","Arte, cores e posição coerentes","Uma cor",Média,APROVAR,"Manter"
352725749,"Querubim Spray | Camiseta Oversized Premium",STREET,"Camiseta Oversized Premium","Preta | Off-White",9.0,12.9,25.5,40.0,"Possivelmente 10–15% maior que o mockup","Querubim e auréola coerentes; assinatura pequena exige cautela","As duas cores aparentam escala semelhante",Média,REVISAR,"Reduzir discretamente ou validar em prova física"
352725852,"Querubim Spray | Camiseta Premium",STREET,"Camiseta Premium","Preta | Branca",8.8,12.6,25.5,40.0,"Coerente a levemente maior; até cerca de 10%","Querubim e auréola coerentes; assinatura pequena não é totalmente verificável","As duas cores aparentam escala semelhante",Média,REVISAR,"Manter por ora; preservar a arte original em nova geração"
352722232,"Sagrado Coração Spray | Camiseta Premium",STREET,"Camiseta Premium",Branca,8.7,12.5,24.9,40.0,"Coerente a levemente maior; até cerca de 10%","Coração e halo coerentes; lettering pequeno requer conferência","Uma cor",Média,REVISAR,"Validar microtexto; não regenerar a arte"
352727545,"São Miguel Vitorioso | Camiseta Oversized Premium",STREET,"Camiseta Oversized Premium","Preta | Off-White",8.5,13.7,29.1,39.5,"Após a correção, a estampa parece cerca de 15–20% menor que o mockup","Arte principal coerente","As duas cores agora estão consistentes entre si",Alta,REFAZER,"Aumentar moderadamente e usar a arte original como camada rígida"
352898175,"São Miguel Vitorioso | Camiseta Premium",STREET,"Camiseta Premium","Preta | Branca",8.9,14.4,29.5,40.0,"A estampa parece cerca de 20–30% maior que o mockup","Macroarte coerente; microtexto exige preservação da fonte","As duas cores aparentam a mesma escala",Alta,REFAZER,"Reduzir e preservar exatamente a arte original"
352726673,"São Miguel Vitorioso | Moletom Canguru",STREET,"Moletom Canguru","Preta | Branca",8.7,14.0,28.5,39.4,"A estampa parece cerca de 15–25% maior que o mockup","Macroarte coerente; microdetalhes precisam vir da fonte","As duas cores aparentam a mesma escala",Alta,REFAZER,"Reduzir e aplicar a arte original sem redesenho"
